Princess Mononoke,1997.0
Cowboy Bebop,1998.0
Hajime no Ippo: The Fighting!,2000.0
Spirited Away,2001.0
Howl's Moving Castle,2004.0
Code Geass: Lelouch of the Rebellion,2006.0
Code Geass: Lelouch of the Rebellion R2,2008.0
Clannad After Story,2008.0
Fullmetal Alchemist: Brotherhood,2009.0
Hajime no Ippo: New Challenger,2009.0
Hunter x Hunter (2011),2011.0
Steins;Gate,2011.0
Gintama',2011.0
Natsume's Book of Friends Season 3,2011.0
Hotarubi no Mori e,2011.0
Gintama': Enchousen,2012.0
Natsume's Book of Friends Season 4,2012.0
Wolf Children,2012.0
Gintama Kanketsu-hen: Yorozuya yo Eien Nare,2013.0
Attack on Titan,2013.0
Monogatari Series: Second Season,2013.0
Hajime no Ippo: Rising,2013.0
Haikyuu!!,2014.0
Mushishi Zoku Shou 2nd Season,2014.0
Mushishi Zoku Shou,2014.0
Attack on Titan: No Regrets,2014.0
Haikyuu!! Second Season,2015.0
One-Punch Man,2015.0
Gintama°,2015.0
JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,2015.0
Kamisama Kiss: Kako-hen,2015.0
Kuroko's Basketball 3,2015.0
Haikyuu!! Karasuno High School vs Shiratorizawa Academy,2016.0
your name.,2016.0
A Silent Voice,2016.0
Assassination Classroom 2nd Season,2016.0
Natsume's Book of Friends Season 5,2016.0
Yona of the Dawn: Zeno Arc,2016.0
JoJo's Bizarre Adventure: Diamond is Unbreakable,2016.0
Doukyuusei,2016.0
ERASED,2016.0
Gintama.,2017.0
Natsume's Book of Friends Season 6,2017.0
My Hero Academia 2,2017.0
Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun,2017.0
Gintama: Porori-hen,2017.0
March Comes in like a Lion 2nd Season,2017.0
Attack on Titan 2nd Season,2017.0
Haikyuu!! Movie 4: Battle of Concepts,2017.0
Gintama.: Shirogane no Tamashii-hen 2,2018.0
Mo Dao Zu Shi,2018.0
Banana Fish,2018.0
Douluo Dalu 2,2018.0
Gintama.: Shirogane no Tamashii-hen,2018.0
Attack on Titan 3rd Season,2018.0
JoJo's Bizarre Adventure: Golden Wind,2018.0
My Hero Academia 3,2018.0
Violet Evergarden,2018.0
That Time I Got Reincarnated as a Slime,2018.0
I Want to Eat Your Pancreas,2018.0
The Disastrous Life of Saiki K. 2nd Season,2018.0
Attack on Titan 3rd Season: Part II,2019.0
Demon Slayer: Kimetsu no Yaiba,2019.0
Given,2019.0
Mo Dao Zu Shi 2,2019.0
Mob Psycho 100 II,2019.0
The Promised Neverland,2019.0
Vinland Saga,2019.0
Rascal Does Not Dream of a Dreaming Girl,2019.0
Dr. Stone,2019.0
The Rising of the Shield Hero,2019.0
Jujutsu Kaisen,2020.0
Attack on Titan The Final Season,2020.0
Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,2020.0
Violet Evergarden Movie,2020.0
Haikyuu!! To the Top: Part II,2020.0
Haikyuu!! To the Top,2020.0
Fruits Basket 2nd Season,2020.0
Heaven Official's Blessing,2020.0
Kaguya-sama: Love Is War?,2020.0
Given Movie,2020.0
BTS: We are Bulletproof - the Eternal,2020.0
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,2021.0
Fruits Basket the Final Season,2021.0
Mo Dao Zu Shi 3,2021.0
Heaven Official's Blessing Special,2021.0
That Time I Got Reincarnated as a Slime Season 2,2021.0
Gintama: The Very Final,2021.0
Link Click,2021.0
That Time I Got Reincarnated as a Slime Season 2: Part II,2021.0
Ranking of Kings,2021.0
Mushoku Tensei: Jobless Reincarnation - Part II,2021.0
Demon Slayer: Kimetsu no Yaiba - Mugen Train,2021.0
JoJo's Bizarre Adventure: Stone Ocean,2021.0
SK8 the Infinity,2021.0
Horimiya,2021.0
Castlevania Season 4,2021.0
To Your Eternity,2021.0
Attack on Titan The Final Season: Part II,2022.0
